samplename,description
VQA-4-6529-B7_S25_L001_R2_001.fastq.gz,VQA-4
SeraCare3-6514-C5_S10_L001_R1_001.fastq.gz,SeraCare3
VQA-5-6530-C7_S26_L001_R1_001.fastq.gz,VQA-5
SeraCare3-6514-C5_S10_L001_R2_001.fastq.gz,SeraCare3
VQA-5-6530-C7_S26_L001_R2_001.fastq.gz,VQA-5
SeraCare4-6515-D5_S11_L001_R1_001.fastq.gz,SeraCare4
SeraCare4-6515-D5_S11_L001_R2_001.fastq.gz,SeraCare4
SeraCare5-6516-E5_S12_L001_R1_001.fastq.gz,SeraCare5
SeraCare5-6516-E5_S12_L001_R2_001.fastq.gz,SeraCare5
SeraCare6-6517-F5_S13_L001_R1_001.fastq.gz,SeraCare6
SeraCare6-6517-F5_S13_L001_R2_001.fastq.gz,SeraCare6
SeraCare7-6518-G5_S14_L001_R1_001.fastq.gz,SeraCare7
SeraCare7-6518-G5_S14_L001_R2_001.fastq.gz,SeraCare7
SeraCare8-6519-H5_S15_L001_R1_001.fastq.gz,SeraCare8
SeraCare8-6519-H5_S15_L001_R2_001.fastq.gz,SeraCare8
SeraCare9-6520-A6_S16_L001_R1_001.fastq.gz,SeraCare9
TH-1-6521-B6_S17_L001_R2_001.fastq.gz,TH-1
TH-2-6522-C6_S18_L001_R1_001.fastq.gz,TH-2
TH-2-6522-C6_S18_L001_R2_001.fastq.gz,TH-2
